net,test case,ground truth,your output,your runtime,your point
fc_base,img0_mnist_0.0020.txt,not verified,not verified,1.42,0
fc_base,img1_mnist_0.0078.txt,not verified,not verified,1.581,0
fc_base,img2_mnist_0.0300.txt,not verified,not verified,1.399,0
fc_base,img3_mnist_0.0936.txt,verified,verified,1.509,1
fc_base,img4_mnist_0.0955.txt,verified,verified,1.378,1
fc_1,img0_mnist_0.0127.txt,not verified,timeout (not verified),60,0
fc_1,img1_mnist_0.0373.txt,not verified,timeout (not verified),60,0
fc_1,img2_mnist_0.0424.txt,not verified,not verified,61.246,0
fc_1,img3_mnist_0.0075.txt,verified,verified,1.489,1
fc_1,img4_mnist_0.0349.txt,verified,verified,1.455,1
fc_1,img5_mnist_0.1110.txt,verified,verified,1.424,1
fc_1,img6_mnist_0.0419.txt,verified,verified,1.476,1
fc_1,img7_mnist_0.0915.txt,verified,verified,1.503,1
fc_1,img8_mnist_0.0444.txt,verified,verified,1.483,1
fc_1,img9_mnist_0.0693.txt,verified,verified,1.433,1
fc_2,img0_mnist_0.0541.txt,not verified,timeout (not verified),60,0
fc_2,img1_mnist_0.0717.txt,not verified,timeout (not verified),60,0
fc_2,img2_mnist_0.0908.txt,not verified,not verified,61.274,0
fc_2,img3_mnist_0.0031.txt,verified,verified,1.355,1
fc_2,img4_mnist_0.0540.txt,verified,verified,1.281,1
fc_2,img5_mnist_0.0392.txt,verified,verified,1.323,1
fc_2,img6_mnist_0.0563.txt,verified,verified,1.256,1
fc_2,img7_mnist_0.0843.txt,verified,verified,1.264,1
fc_2,img8_mnist_0.0750.txt,verified,verified,1.306,1
fc_2,img9_mnist_0.0618.txt,verified,verified,1.286,1
fc_3,img0_mnist_0.0236.txt,not verified,timeout (not verified),60,0
fc_3,img1_mnist_0.0297.txt,not verified,timeout (not verified),60,0
fc_3,img2_mnist_0.0615.txt,not verified,timeout (not verified),60,0
fc_3,img3_mnist_0.0019.txt,verified,verified,1.405,1
fc_3,img4_mnist_0.0621.txt,verified,verified,1.536,1
fc_3,img5_mnist_0.0442.txt,verified,verified,1.575,1
fc_3,img6_mnist_0.0569.txt,verified,verified,1.463,1
fc_3,img7_mnist_0.0749.txt,verified,verified,1.553,1
fc_3,img8_mnist_0.0751.txt,verified,verified,1.552,1
fc_3,img9_mnist_0.0785.txt,verified,verified,1.636,1
fc_4,img0_mnist_0.1132.txt,not verified,timeout (not verified),60,0
fc_4,img1_mnist_0.1139.txt,not verified,timeout (not verified),60,0
fc_4,img2_mnist_0.1164.txt,not verified,timeout (not verified),60,0
fc_4,img3_mnist_0.0014.txt,verified,verified,1.289,1
fc_4,img4_mnist_0.0552.txt,verified,verified,1.375,1
fc_4,img5_mnist_0.0600.txt,verified,verified,1.39,1
fc_4,img6_mnist_0.0776.txt,verified,verified,1.386,1
fc_4,img7_mnist_0.0566.txt,verified,verified,1.471,1
fc_4,img8_mnist_0.0894.txt,verified,verified,1.394,1
