net,test case,ground truth,your output,your runtime,your point
fc_1,img1_mnist_0.0373.txt,not verified,not verified,1.154,0
fc_1,img6_mnist_0.0419.txt,verified,not verified,1.137,0
fc_1,img7_mnist_0.0915.txt,verified,not verified,1.134,0
fc_2,img2_mnist_0.0908.txt,not verified,not verified,1.128,0
fc_2,img7_mnist_0.0843.txt,verified,verified,1.149,1
fc_2,img8_mnist_0.0750.txt,verified,not verified,1.129,0
fc_3,img2_mnist_0.0615.txt,not verified,not verified,1.154,0
fc_3,img3_mnist_0.0019.txt,verified,verified,1.167,1
fc_3,img8_mnist_0.0751.txt,verified,not verified,1.159,0
fc_4,img0_mnist_0.1132.txt,not verified,not verified,1.128,0
fc_4,img3_mnist_0.0014.txt,verified,not verified,1.166,0
fc_4,img4_mnist_0.0552.txt,verified,not verified,1.147,0
fc_5,img2_mnist_0.1475.txt,not verified,not verified,1.139,0
fc_5,img7_mnist_0.1009.txt,verified,not verified,1.168,0
fc_5,img8_mnist_0.1020.txt,verified,not verified,1.186,0
fc_6,img2_mnist_0.0386.txt,not verified,not verified,1.242,0
fc_6,img4_mnist_0.0619.txt,verified,not verified,1.198,0
fc_6,img8_mnist_0.0316.txt,verified,not verified,1.202,0
fc_6,img2_cifar10_0.0029.txt,not verified,not verified,1.279,0
fc_6,img3_cifar10_0.0051.txt,not verified,not verified,1.302,0
fc_6,img8_cifar10_0.0029.txt,verified,not verified,1.298,0
fc_7,img0_mnist_0.0598.txt,not verified,not verified,1.256,0
fc_7,img3_mnist_0.0700.txt,verified,not verified,1.277,0
fc_7,img7_mnist_0.0521.txt,verified,not verified,1.229,0
conv_1,img0_mnist_0.1671.txt,not verified,not verified,1.547,0
conv_1,img6_mnist_0.1120.txt,verified,not verified,1.533,0
conv_1,img8_mnist_0.1272.txt,verified,not verified,1.549,0
conv_2,img0_mnist_0.1211.txt,not verified,not verified,2.641,0
conv_2,img4_mnist_0.0974.txt,verified,not verified,2.656,0
conv_2,img7_mnist_0.1582.txt,verified,not verified,2.662,0
conv_3,img3_cifar10_0.0221.txt,not verified,not verified,11.046,0
conv_3,img6_cifar10_0.0133.txt,verified,not verified,11.11,0
conv_3,img7_cifar10_0.0124.txt,verified,not verified,11.078,0
conv_4,img1_mnist_0.1851.txt,not verified,not verified,5.799,0
conv_4,img7_mnist_0.1962.txt,verified,not verified,5.751,0
conv_4,img8_mnist_0.2113.txt,verified,not verified,5.775,0

total points: 2
